brand,model,variant,field,old_value,new_value,source_url,reason
HiBy,R6 III,2025,Dimensions,,129.4 x 73.1 x 15.6 mm,https://store.hiby.com/products/hiby-r6-iii-2025,Official HiBy R6 III 2025 page lists dimensions as 129.4*73.1*15.6 mm.
HiBy,R6 III,2025,Weight,,250g,https://store.hiby.com/products/hiby-r6-iii-2025,Official HiBy R6 III 2025 page lists weight as 250g.
HiBy,R6 III,2025,Notes,"Verified - Official: HiBy product page confirms $439 regular price, Snapdragon 665, Android 12, four CS43198 DACs, switchable Class A/AB amplification, 4GB RAM, 64GB storage, system-wide bit-perfect audio, up to 13h SE Class AB and 12h balanced Class AB playback, and Silver / Black official colors. Structured output power remains blank because accessible official text does not provide a complete SE/BAL plus impedance mapping. | Battery runtime detail from prior data: 13h SE Class AB / 12h balanced Class AB.","Verified - Official: HiBy product page confirms $439 regular price, Snapdragon 665, Android 12, four CS43198 DACs, switchable Class A/AB amplification, 4GB RAM, 64GB storage, system-wide bit-perfect audio, up to 13h SE Class AB and 12h balanced Class AB playback, and Silver / Black official colors. Structured output power remains blank because accessible official text does not provide a complete SE/BAL plus impedance mapping. | Battery runtime detail from prior data: 13h SE Class AB / 12h balanced Class AB.
| Source audit pass6 HiBy: official R6 III 2025 page lists regular price $439, sale price $399, CS43198 x4, Snapdragon 665, Android 12, 129.4 x 73.1 x 15.6 mm, 250g, and up to 13h SE Class AB / about 12h balanced Class AB playback.",https://store.hiby.com/products/hiby-r6-iii-2025,Add exact official physical/runtime context for R6 III 2025.
HiBy,R6 III,2023,Source URL,https://store.hiby.com/products/hiby-r6-iii-2025,https://headfonics.com/hiby-r6-iii-review/,https://headfonics.com/hiby-r6-iii-review/,Exact 2023 R6 III row should use exact 2023 Headfonics review source because HiBy store now routes current official product page to the 2025 refresh.
HiBy,R6 III,2023,Notes,"Verified - Official HiBy page retains the original R6III description and dates the platform to April 2023; exact 2023 R6 Gen III review confirms Snapdragon 665, Android 12, dual ES9038Q2M and Class A/AB. Kept separate from existing R6 III 2025 refresh.","Verified - Official HiBy page retains the original R6III description and dates the platform to April 2023; exact 2023 R6 Gen III review confirms Snapdragon 665, Android 12, dual ES9038Q2M and Class A/AB. Kept separate from existing R6 III 2025 refresh.
| Source audit pass6 HiBy: 2023 row intentionally uses exact-model Headfonics review source because the current official HiBy R6 III page is for the 2025 CS43198 refresh. Keep this row distinct from R6 III 2025.",https://headfonics.com/hiby-r6-iii-review/,Clarify source split between original R6 III and 2025 refresh.
HiBy,R3 Pro II,,OS,HiByOS,HiByOS (Linux-based),https://store.hiby.com/products/hiby-r3pro-ii,Official R3Pro II page says Operating System: HiByOS (Linux based).
HiBy,R3 Pro II,,Amp,,4x OPA1622,https://store.hiby.com/products/hiby-r3pro-ii,Official R3Pro II page headline lists 4x OPA1622 headphone amps separate from DAC.
HiBy,R3 Pro II,,Weight,160,160g,https://store.hiby.com/products/hiby-r3pro-ii,Official R3Pro II page lists weight as 160g.
HiBy,R3 Pro II,,SoC,Ingenic X1600E,X1600E,https://store.hiby.com/products/hiby-r3pro-ii,Normalize SoC wording to official page value X1600E.
HiBy,R3 Pro II,,DAC,2x Cirrus Logic CS43198,Dual CS43198,https://store.hiby.com/products/hiby-r3pro-ii,Normalize DAC wording to official page value CS43198 x2.
HiBy,R3 Pro II,,Notes,"Verified - Official HiBy product page and manual. Exact naming is R3Pro II / R3 Pro II; this is distinct from R3 Pro, R3 II, and R3 Pro Saber. Headfonics confirms dimensions, weight, OS and battery life.","Verified - Official HiBy product page and manual. Exact naming is R3Pro II / R3 Pro II; this is distinct from R3 Pro, R3 II, and R3 Pro Saber. Headfonics confirms dimensions, weight, OS and battery life.
| Source audit pass6 HiBy: official R3Pro II page verifies $199 price, X1600E SoC, dual CS43198 DACs, 4x OPA1622 headphone amps, 4000mAh battery, 3.5mm PO plus 4.4mm BAL PO, up to 480mW output, 86.9 x 60.6 x 21.6 mm dimensions, 160g weight, HiByOS Linux-based OS, and 21h tested playback.",https://store.hiby.com/products/hiby-r3pro-ii,Add compact exact official spec context for R3Pro II.
HiBy,R1,,Notes,"Verified - Official: HiBy product page confirms $85 regular price, X1600E SoC, CS43131 DAC, HiByOS (Linux-based), 3.5mm output, Bluetooth 5.1, Wi-Fi, 3.0in display, PCM 32-bit/384kHz, DSD256, microSD up to 2TB, 15h playback, 400h standby, 70g weight, 83.5 x 51.1 x 12.35 mm dimensions, and Orange / Black / White / Green / Blue standard colors. Battery capacity remains blank because it was not exposed in accessible official text.","Verified - Official: HiBy product page confirms $85 regular price, X1600E SoC, CS43131 DAC, HiByOS (Linux-based), 3.5mm output, Bluetooth 5.1, Wi-Fi, 3.0in display, PCM 32-bit/384kHz, DSD256, microSD up to 2TB, 15h playback, 400h standby, 70g weight, 83.5 x 51.1 x 12.35 mm dimensions, and Orange / Black / White / Green / Blue standard colors. Battery capacity remains blank because it was not exposed in accessible official text.
| Source audit pass6 HiBy: official R1 page verifies X1600E, CS43131, 83.5 x 51.1 x 12.35 mm, 70g, HiByOS Linux-based, 15h playback, 400h standby, Bluetooth 5.1, Wi-Fi, 3in touchscreen, PCM 32-bit/384kHz, DSD256, and microSD up to 2TB.",https://store.hiby.com/products/hiby-r1,Add official R1 source audit context; fields already aligned.
HiBy,M300,3GB/32GB,Bluetooth Version,,5.0,https://guide.hiby.com/en/docs/products/audio_player/hibydigital_m300/guide,Official M300 guide lists Bluetooth 5.0.
HiBy,M300,3GB/32GB,Wi-Fi Bands,,2.4GHz / 5GHz,https://guide.hiby.com/en/docs/products/audio_player/hibydigital_m300/guide,Official M300 guide lists 2.4G and 5G dual-band Wi-Fi.
HiBy,M300,3GB/32GB,Notes,"Verified - Official: HiBy's official M300 user manual verifies the 3GB/32GB M300 configuration, Android 13, Snapdragon 665, CS43131, 3.5mm phone output, USB audio/USB DAC capability, Bluetooth output with LDAC/aptX Adaptive/aptX HD/aptX/AAC/SBC, PCM to 32-bit/384kHz and DSD256. HiBy's official product page verifies 2000mAh battery, 4.0in display, 29h playback, 136g, 113 x 58 x 13 mm, microSD up to 2TB, and Black / Silver / Blue colors. No 4.4mm output.","Verified - Official: HiBy's official M300 user manual verifies the 3GB/32GB M300 configuration, Android 13, Snapdragon 665, CS43131, 3.5mm phone output, USB audio/USB DAC capability, Bluetooth output with LDAC/aptX Adaptive/aptX HD/aptX/AAC/SBC, PCM to 32-bit/384kHz and DSD256. HiBy's official product page verifies 2000mAh battery, 4.0in display, 29h playback, 136g, 113 x 58 x 13 mm, microSD up to 2TB, and Black / Silver / Blue colors. No 4.4mm output.
| Source audit pass6 HiBy: official M300 guide verifies Android 13, Snapdragon 665, CS43131, DSD256, PCM 384kHz, USB audio output, Bluetooth output with LDAC/aptX Adaptive/aptX HD/aptX/AAC/SBC, microSD up to 2TB, Bluetooth 5.0, and 2.4/5GHz Wi-Fi. Guide also notes both 4GB/128GB and 3GB/32GB versions.",https://guide.hiby.com/en/docs/products/audio_player/hibydigital_m300/guide,Add official M300 guide context and fill Bluetooth/Wi-Fi fields.
HiBy,R5 II,Gen 2,Notes,"Verified - Official: HiBy's exact R5 Gen 2 specification table verifies Android 8.1, Snapdragon 425, dual ES9219C, 2GB RAM, 16GB storage, microSD under 2TB, 4500mAh battery, 3.5mm/2.5mm/4.4mm outputs, Bluetooth 4.2, dual-band Wi-Fi, 4.7in display, 220g, 123 x 71.3 x 15.5 mm, third-party Android app installation, USB-C, Black color, and official runtime of 35h SE economy / 28h balanced economy / 10h SE Class A / 7h balanced Class A. Structured power stays blank because the official 32-ohm table has different economy versus Class A values (110/320mW vs 150/475mW SE/balanced). | Battery runtime detail from prior data: 35h SE economy / 28h BAL economy / 10h SE Class A / 7h BAL Class A.","Verified - Official: HiBy's exact R5 Gen 2 specification table verifies Android 8.1, Snapdragon 425, dual ES9219C, 2GB RAM, 16GB storage, microSD under 2TB, 4500mAh battery, 3.5mm/2.5mm/4.4mm outputs, Bluetooth 4.2, dual-band Wi-Fi, 4.7in display, 220g, 123 x 71.3 x 15.5 mm, third-party Android app installation, USB-C, Black color, and official runtime of 35h SE economy / 28h balanced economy / 10h SE Class A / 7h balanced Class A. Structured power stays blank because the official 32-ohm table has different economy versus Class A values (110/320mW vs 150/475mW SE/balanced). | Battery runtime detail from prior data: 35h SE economy / 28h BAL economy / 10h SE Class A / 7h BAL Class A.
| Source audit pass6 HiBy: official R5 II page verifies Snapdragon 425, ES9219C x2, 123 x 71.3 x 15.5 mm, 220g, Android 8.1, 35h PO economy-mode playback, 4.7in display, 2.5/3.5/4.4mm ports, MQA 16x, two-way Bluetooth, and QC3.0 quick charging. Prior detailed runtime split needs manual image/source verification.",https://store.hiby.com/products/hiby-r5-gen-2,Add official R5 II context and flag battery split nuance.
HiBy,R6 Pro II,,Notes,"Verified - Official: HiBy's official R6 Pro II page and product-parameter text verify Snapdragon 665, Android 12, AK4191EQ + dual AK4499EX, switchable Class A/AB amplification, 4GB RAM, 64GB storage, microSD up to 2TB, 5000mAh battery, 5.9in 1080p display, 3.5mm/4.4mm headphone and line outputs, USB DAC and USB-C coaxial output, two-way Bluetooth 5.0 with UAT/LDAC/aptX/aptX HD/AAC/SBC, dual-band Wi-Fi, PCM 32-bit/1536kHz, DSD1024, MQA 16x, 285g, 147.45 x 75.2 x 15 mm, Purple / Black colors, and runtime of 6h SE A / 5h BAL A / 8h SE AB / 7h BAL AB. Structured power remains blank because the accessible official page does not provide a complete SE/BAL power-and-load mapping. | Battery runtime detail from prior data: 6h SE Class A / 5h BAL Class A / 8h SE Class AB / 7h BAL Class AB.","Verified - Official: HiBy's official R6 Pro II page and product-parameter text verify Snapdragon 665, Android 12, AK4191EQ + dual AK4499EX, switchable Class A/AB amplification, 4GB RAM, 64GB storage, microSD up to 2TB, 5000mAh battery, 5.9in 1080p display, 3.5mm/4.4mm headphone and line outputs, USB DAC and USB-C coaxial output, two-way Bluetooth 5.0 with UAT/LDAC/aptX/aptX HD/AAC/SBC, dual-band Wi-Fi, PCM 32-bit/1536kHz, DSD1024, MQA 16x, 285g, 147.45 x 75.2 x 15 mm, Purple / Black colors, and runtime of 6h SE A / 5h BAL A / 8h SE AB / 7h BAL AB. Structured power remains blank because the accessible official page does not provide a complete SE/BAL power-and-load mapping. | Battery runtime detail from prior data: 6h SE Class A / 5h BAL Class A / 8h SE Class AB / 7h BAL Class AB.
| Source audit pass6 HiBy: current official R6 Pro II store page lists sale price $798 / regular price $988, AK4191EQ + dual AK4499EX, Snapdragon 665, Android 12, 5000mAh battery, 147.45 x 75.2 x 15 mm, 285g, 5.9in display, DSD1024/PCM1536, MQA 16x, 5h 4.4mm balanced Class A and 7h 4.4mm balanced Class AB runtime. MSRP field was left unchanged pending launch-price policy.",https://store.hiby.com/products/r6-pro-ii-gen-2,Add official current-price/runtime context without overwriting MSRP.
HiBy,R6 Pro II,2025,Notes,"Verified - Official: HiBy exact 2025 product page verifies a distinct R6 Pro II 2025 with Snapdragon 665, Android 12, dual CS4308P DACs, 6GB RAM, 128GB storage, 5000mAh battery, Class A/AB amplification, 147.45 x 75.2 x 15 mm dimensions and 283g weight. Exact-model Headfonics review additionally verifies PCM 32-bit/768kHz, DSD512, Bluetooth 5.0, 3.5mm/4.4mm outputs, USB-C coaxial output, and 632mW balanced output into 32 ohms. Battery runtime is described as mode-dependent in review text, so Battery Life Hours is intentionally blank.","Verified - Official: HiBy exact 2025 product page verifies a distinct R6 Pro II 2025 with Snapdragon 665, Android 12, dual CS4308P DACs, 6GB RAM, 128GB storage, 5000mAh battery, Class A/AB amplification, 147.45 x 75.2 x 15 mm dimensions and 283g weight. Exact-model Headfonics review additionally verifies PCM 32-bit/768kHz, DSD512, Bluetooth 5.0, 3.5mm/4.4mm outputs, USB-C coaxial output, and 632mW balanced output into 32 ohms. Battery runtime is described as mode-dependent in review text, so Battery Life Hours is intentionally blank.
| Source audit pass6 HiBy: official R6 Pro II 2025 page verifies $699 price, dual CS4308P, Class A/AB, open Android 12, 6GB/128GB, up to 632mW output, and 5000mAh battery. Exact source does not expose a full SE/BAL load mapping in parsed text.",https://store.hiby.com/products/hiby-r6-pro-ii-2025,Add exact official R6 Pro II 2025 source context.
HiBy,R6 Pro Max,,Weight,425,425g,https://store.hiby.com/products/hiby-r6-pro-max,Normalize weight unit; exact-model spec/review-backed value was unitless.
