brand,model,variant,issue_type,current_value,source_url,notes,recommended_action
HiBy,R6 III,2023,review_only,"Source URL is exact review, not official product page",https://headfonics.com/hiby-r6-iii-review/,Official current HiBy product page is the 2025 refresh; original 2023 specs are review-backed here.,Keep as Verified - Review unless an archived official 2023 product/spec page is found.
HiBy,R5 II,Gen 2,mode_specific_spec,35,https://store.hiby.com/products/hiby-r5-gen-2,"Official parsed text confirms 35h PO economy and references another lower amp-mode figure, but prior notes include 28h BAL economy / 10h SE Class A / 7h BAL Class A that need image/manual confirmation.",Keep numeric Battery Life Hours = 35; verify detailed runtime split against official spec image or exact review before relying on it.
HiBy,R6 Pro II,,price_unclear,749,https://store.hiby.com/products/r6-pro-ii-gen-2,"Current official store page shows pricing that does not prove original launch/list MSRP. Canonical CSV keeps existing MSRP rather than overwriting it with current store pricing.","Keep 749 only if source-backed as original launch/list MSRP; otherwise find official launch MSRP, reputable near-launch regular price, or blank the field."
HiBy,R6 Pro Max,,price_unclear,799,https://store.hiby.com/products/hiby-r6-pro-max,"Canonical CSV keeps the existing MSRP value. The pass found a different current official store price, but that does not prove original launch/list MSRP.",Keep 799 only if source-backed as original launch/list MSRP; otherwise find official launch MSRP, reputable near-launch regular price, or blank the field.
HiBy,R6 Pro Max,10th Anniversary Edition,variant_unclear,standard R6Pro MAX-like weight/dimensions/runtime present,https://store.hiby.com/products/hiby-golden-10th-anniversary-set,"The anniversary source verifies material/amplification differences but parsed text does not confirm weight, dimensions, battery runtime, or storage expansion for the anniversary DAP.",Manually verify whether standard R6Pro MAX physical/runtime specs apply to the titanium anniversary edition; blank fields if not source-backed.
HiBy,R8,,review_only,Source URL changed to Headfonics review,https://headfonics.com/hiby-r8-review/,HiBy official support/help source did not expose full R8 specs; row remains exact-review-backed.,Find archived official R8 product/spec page if possible; otherwise keep Verified - Review.
HiBy,R3 Pro Saber,,source_mismatch,Source URL points to 2022 Saber specification page,https://store.hiby.com/pages/hiby-r3-pro-saber-2022-specifications,The non-2022 R3 Pro Saber row uses the 2022 specifications page even though it appears to describe the earlier Saber revision with ES9218P.,Find exact original R3 Pro Saber source or review; otherwise downgrade/clarify verification and avoid using the 2022 spec page for the 2020 row.
HiBy,M500,4G,official_source_incomplete,MSRP=349; core specs present,https://store.hiby.com/products/hiby-digital-m500,"Official page parsed text confirms the M500 Wi-Fi/4G options, but Snapdragon/DAC/battery/power details are not visible in text extraction.",Manually verify M500 technical specs from official spec images or a text source; decide whether 4G price differs from Wi-Fi.
HiBy,M500,WiFi,official_source_incomplete,MSRP=319; core specs present,https://store.hiby.com/products/hiby-digital-m500,"Official page parsed text confirms the M500 Wi-Fi/4G options, but Snapdragon/DAC/battery/power details are not visible in text extraction.",Manually verify M500 technical specs from official spec images or a text source; decide whether 4G price differs from Wi-Fi.
HiBy,R2 II,Gen 2,review_only,https://store.hiby.com/blogs/r2-ii-review/hiby-r2-ii-review-headfonics,https://headfonics.com/hiby-r2-ii-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R3,,review_only,https://headfonics.com/hiby-music-r3-review/,https://headfonics.com/hiby-music-r3-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R5,,review_only,https://headfonics.com/hiby-r5-review/,https://headfonics.com/hiby-r5-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R5 Saber,,review_only,https://headfonics.com/hiby-r5-saber-review/,https://headfonics.com/hiby-r5-saber-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R6 Pro,,review_only,https://headfonics.com/hiby-r6-pro-review/,https://headfonics.com/hiby-r6-pro-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R6,2020,review_only,https://headfonics.com/hiby-r6-2020-review/,https://headfonics.com/hiby-r6-2020-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
HiBy,R2,,review_only,https://headfonics.com/hiby-r2-review/,https://headfonics.com/hiby-r2-review/,"Legacy row is primarily exact-review-backed, not official-spec-backed.",Prefer archived official HiBy spec pages if found; otherwise keep verification as review-backed/partial as appropriate.
